Reference, Quantity, Value, Footprint, Datasheet, Bezug, Typ
A1 ,1,"KiCad Symbol","Symbols:KiCad-Logo2_6mm_SilkScreen","","","KiCad-Symbol"
A2 ,1,"KiCad-Symbol","Symbols:KiCad-Logo2_6mm_SilkScreen","","","KiCad-Symbol"
C1 ,1,"100µ 6V3","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Wave","~","https://www.reichelt.de/smd-tantal-100-f-10-6-3v-case-b-125-c-ve-2000-t491b-100u-6-p206458.html?&trstct=pol_4&nbc=1","100uF 6.3V"
C13 C12 C11 C35 ,4,"10µ 50V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Hand","https://www.reichelt.de/smd-tantal-10-f-50v-125-c-t491d-10u-50-p206482.html?&trstct=pol_0&nbc=1","https://www.reichelt.de/smd-tantal-10-f-50v-125-c-t491d-10u-50-p206482.html?&trstct=pol_0&nbc=1","T491D 10U 50 SMD-Tantal, 10µF, 50V"
C14 ,1,"22µ 6V3","Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Reflow","https://www.reichelt.de/smd-tantal-22-f-6-3v-105-c-t520-22u-6-3-p206543.html?&trstct=pol_9&nbc=1","https://www.reichelt.de/smd-tantal-22-f-6-3v-105-c-t520-22u-6-3-p206543.html?&trstct=pol_1&nbc=1","T491D 22U 35 SMD-Tantal, 22µF,6V3"
C15 C39 ,2,"100n 50V","Capacitors_SMD:C_1206","","https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r1206b100n-p207152.html?&trstct=pol_1&nbc=1","100n"
C17 C49 C16 ,3,"22µ 10V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-C_EIA-6032-28_Reflow","https://www.reichelt.de/smd-tantal-22-f-10v-125-c-t491c-22u-10-p206472.html?&trstct=pol_0&nbc=1","https://www.reichelt.de/smd-tantal-22-f-10v-125-c-t491c-22u-10-p206472.html?&trstct=pol_0&nbc=1","T491C 22U 10 SMD-Tantal, 22µF, 10V"
C19 ,1,"2µ2 16V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Wave","https://cdn-reichelt.de/documents/datenblatt/B300/KEM_T494_DB-EN.pdf","https://www.reichelt.de/smd-tantal-2-2-f-16v-125-c-t494a-2-2u-16-p206498.html?&trstct=pol_0&nbc=1","Tantal 2µ2 16V"
C2 C25 C24 C48 C52 C53 C54 C55 C56 C57 C58 C59 C60 C61 C62 C63 C64 C65 C66 C69 C68 C67 C72 C99 C23 C22 C87 C86 C97 C98 ,30,"100n","Capacitors_SMD:C_1206","~","https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r1206b100n-p207152.html?&trstct=pol_1&nbc=1","100n"
C20 C21 ,2,"2µ2 50V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Wave","","https://www.reichelt.de/smd-tantal-kondensator-2-2-f-50-v-taj-7343-2-2-50-p167031.html?&trstct=pol_3&nbc=1","2µ2 50V"
C29 ,1,"10µ 10V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Wave","~","https://www.reichelt.de/smd-tantal-kondensator-10-f-10v-tps-3216-10-10-p167046.html?&trstct=pol_1&nbc=1","10µF 10V"
C36 ,1,"22µ 25V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Hand","https://www.reichelt.de/smd-tantal-22-f-25v-125-c-t494d-22u-25-p206522.html?&trstct=pol_0&nbc=1","https://www.reichelt.de/smd-tantal-22-f-25v-125-c-t495d-22u-25-p206534.html?&trstct=pol_1&nbc=1","T494D 22U 25 SMD-Tantal, 22µF, 25V"
C42 C41 ,2,"100n","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","","https://www.reichelt.de/folienkondensator-100nf-250v-rm5-mks2-250-100n-p172708.html?&trstct=pol_1&nbc=1","MKS2-250 100N"
